Accession,SRR accession,Ethambutol,Isoniazid,Pyrazinamide,Rifampicin,Isolate
ERR2513574,ERR2513574,S,S,S,S,ERR2513574
ERR2514462,ERR2514462,S,S,S,S,ERR2514462
ERR2513825,ERR2513825,S,S,S,S,ERR2513825
ERR2512667,ERR2512667,S,S,S,S,ERR2512667
ERR2514027,ERR2514027,S,S,S,S,ERR2514027
ERR2514441,ERR2514441,S,S,S,S,ERR2514441
ERR2512955,ERR2512955,S,S,S,S,ERR2512955
ERR2513151,ERR2513151,S,S,S,S,ERR2513151
ERR2513109,ERR2513109,S,S,S,S,ERR2513109
ERR2513021,ERR2513021,S,S,S,S,ERR2513021
ERR2513749,ERR2513749,S,S,S,S,ERR2513749
ERR2514065,ERR2514065,S,S,S,S,ERR2514065
ERR2512730,ERR2512730,R,R,R,R,ERR2512730
ERR2513016,ERR2513016,S,S,S,S,ERR2513016
ERR2513685,ERR2513685,S,S,S,S,ERR2513685
ERR2513896,ERR2513896,S,S,S,S,ERR2513896
ERR2513527,ERR2513527,S,S,S,S,ERR2513527
ERR2513686,ERR2513686,S,S,S,S,ERR2513686
ERR2512572,ERR2512572,S,S,S,S,ERR2512572
ERR2514657,ERR2514657,S,S,S,S,ERR2514657
ERR2513449,ERR2513449,S,S,S,S,ERR2513449
ERR2510783,ERR2510783,S,S,S,S,ERR2510783
ERR2514730,ERR2514730,S,S,S,S,ERR2514730
ERR2514486,ERR2514486,S,S,S,S,ERR2514486
ERR2514136,ERR2514136,S,S,S,S,ERR2514136
ERR2512498,ERR2512498,S,S,S,S,ERR2512498
ERR2514725,ERR2514725,S,S,S,S,ERR2514725
ERR2514314,ERR2514314,S,S,S,S,ERR2514314
ERR2514248,ERR2514248,S,S,S,S,ERR2514248
ERR2513094,ERR2513094,S,S,S,S,ERR2513094
ERR2513804,ERR2513804,S,S,S,S,ERR2513804
ERR2512777,ERR2512777,S,S,S,S,ERR2512777
ERR2513406,ERR2513406,S,S,S,S,ERR2513406
ERR2514519,ERR2514519,S,S,S,S,ERR2514519
ERR2513185,ERR2513185,S,S,S,S,ERR2513185
ERR2514547,ERR2514547,S,S,S,S,ERR2514547
ERR2514451,ERR2514451,R,R,R,S,ERR2514451
ERR2513219,ERR2513219,S,R,S,S,ERR2513219
ERR2512562,ERR2512562,S,S,S,S,ERR2512562
ERR2513528,ERR2513528,S,S,S,S,ERR2513528
ERR2513861,ERR2513861,S,S,S,S,ERR2513861
ERR2513321,ERR2513321,S,S,S,S,ERR2513321
ERR2513373,ERR2513373,S,S,S,S,ERR2513373
ERR2512398,ERR2512398,S,S,S,S,ERR2512398
ERR2513946,ERR2513946,S,S,S,S,ERR2513946
ERR2513590,ERR2513590,S,S,S,S,ERR2513590
ERR2512501,ERR2512501,S,S,S,S,ERR2512501
ERR2513621,ERR2513621,S,S,S,S,ERR2513621
ERR2514418,ERR2514418,S,S,S,S,ERR2514418
ERR2514791,ERR2514791,S,S,S,S,ERR2514791
ERR2512757,ERR2512757,S,S,S,S,ERR2512757
ERR2513626,ERR2513626,S,S,S,S,ERR2513626
ERR2514002,ERR2514002,S,S,S,S,ERR2514002
ERR2514403,ERR2514403,S,S,S,S,ERR2514403
ERR2513076,ERR2513076,S,S,S,S,ERR2513076
ERR2514048,ERR2514048,S,S,S,S,ERR2514048
ERR2513619,ERR2513619,S,S,S,S,ERR2513619
ERR2514280,ERR2514280,S,S,S,S,ERR2514280
ERR2514066,ERR2514066,S,S,S,S,ERR2514066
ERR2513858,ERR2513858,S,S,S,S,ERR2513858
ERR2513398,ERR2513398,S,S,S,S,ERR2513398
ERR2512751,ERR2512751,S,S,S,S,ERR2512751
ERR2513036,ERR2513036,S,S,S,S,ERR2513036
ERR2512806,ERR2512806,S,S,S,S,ERR2512806
ERR2514367,ERR2514367,S,S,S,S,ERR2514367
ERR2512888,ERR2512888,S,R,S,S,ERR2512888
ERR2513754,ERR2513754,S,S,S,S,ERR2513754
ERR2512567,ERR2512567,S,S,S,S,ERR2512567
ERR2514611,ERR2514611,S,S,S,S,ERR2514611
ERR2514132,ERR2514132,S,S,S,S,ERR2514132
ERR2513227,ERR2513227,S,S,S,S,ERR2513227
ERR2512583,ERR2512583,S,S,S,S,ERR2512583
ERR2514117,ERR2514117,S,S,S,S,ERR2514117
ERR2513785,ERR2513785,S,S,S,S,ERR2513785
ERR2512708,ERR2512708,S,S,S,S,ERR2512708
ERR2513666,ERR2513666,S,S,S,S,ERR2513666
ERR2513867,ERR2513867,S,S,S,S,ERR2513867
ERR2513541,ERR2513541,S,S,S,S,ERR2513541
ERR2513361,ERR2513361,S,S,S,S,ERR2513361
ERR2512924,ERR2512924,S,S,S,S,ERR2512924
ERR2513584,ERR2513584,S,S,S,S,ERR2513584
ERR2513549,ERR2513549,S,S,S,S,ERR2513549
ERR2513970,ERR2513970,S,S,S,S,ERR2513970
ERR2512807,ERR2512807,S,S,S,S,ERR2512807
ERR2514664,ERR2514664,S,S,S,S,ERR2514664
ERR2513881,ERR2513881,S,S,S,S,ERR2513881
ERR2512546,ERR2512546,S,S,S,S,ERR2512546
ERR2513428,ERR2513428,S,S,R,S,ERR2513428
ERR2512665,ERR2512665,S,S,S,S,ERR2512665
ERR2513400,ERR2513400,S,S,S,S,ERR2513400
ERR2513180,ERR2513180,S,S,S,S,ERR2513180
ERR2514033,ERR2514033,S,S,S,S,ERR2514033
ERR2512704,ERR2512704,S,S,S,S,ERR2512704
ERR2513611,ERR2513611,S,S,S,S,ERR2513611
ERR2512906,ERR2512906,S,S,S,S,ERR2512906
ERR2513988,ERR2513988,S,S,S,S,ERR2513988
ERR2513460,ERR2513460,R,R,R,R,ERR2513460
ERR2513137,ERR2513137,S,S,S,S,ERR2513137
ERR2513981,ERR2513981,S,S,S,S,ERR2513981
ERR2512701,ERR2512701,S,S,S,S,ERR2512701
ERR2512687,ERR2512687,S,S,S,S,ERR2512687
ERR2510801,ERR2510801,S,S,S,S,ERR2510801
ERR2512966,ERR2512966,S,S,S,S,ERR2512966
ERR2513187,ERR2513187,S,S,S,S,ERR2513187
ERR2514513,ERR2514513,S,S,S,S,ERR2514513
ERR2514444,ERR2514444,S,S,S,S,ERR2514444
ERR2512782,ERR2512782,S,S,S,S,ERR2512782
ERR2512414,ERR2512414,S,S,S,S,ERR2512414
ERR2514487,ERR2514487,R,R,R,R,ERR2514487
ERR2512935,ERR2512935,S,S,S,S,ERR2512935
ERR2514157,ERR2514157,S,R,S,S,ERR2514157
ERR2512816,ERR2512816,S,S,S,S,ERR2512816
ERR2512470,ERR2512470,S,S,S,S,ERR2512470
ERR2514667,ERR2514667,S,S,S,S,ERR2514667
ERR2512649,ERR2512649,S,S,S,S,ERR2512649
ERR2512871,ERR2512871,S,S,S,S,ERR2512871
ERR2512907,ERR2512907,S,R,S,S,ERR2512907
ERR2512862,ERR2512862,S,S,S,S,ERR2512862
ERR2514324,ERR2514324,S,S,S,S,ERR2514324
ERR2513846,ERR2513846,S,S,S,S,ERR2513846
ERR2514101,ERR2514101,S,S,S,S,ERR2514101
ERR2514310,ERR2514310,S,S,S,S,ERR2514310
ERR2513485,ERR2513485,S,S,S,S,ERR2513485
ERR2512992,ERR2512992,S,S,S,S,ERR2512992
ERR2513307,ERR2513307,S,S,S,S,ERR2513307
ERR2514193,ERR2514193,S,S,S,S,ERR2514193
ERR2510773,ERR2510773,S,S,S,S,ERR2510773
ERR2513091,ERR2513091,S,S,S,S,ERR2513091
ERR2512653,ERR2512653,S,S,S,S,ERR2512653
ERR2513002,ERR2513002,S,S,S,S,ERR2513002
ERR2513422,ERR2513422,S,S,S,S,ERR2513422
ERR2514581,ERR2514581,S,S,S,S,ERR2514581
ERR2512752,ERR2512752,S,R,S,S,ERR2512752
ERR2512455,ERR2512455,S,S,S,S,ERR2512455
ERR2513387,ERR2513387,S,S,S,S,ERR2513387
ERR2514447,ERR2514447,S,S,S,S,ERR2514447
ERR2514145,ERR2514145,S,S,S,S,ERR2514145
ERR2513302,ERR2513302,S,S,R,S,ERR2513302
ERR2513359,ERR2513359,S,S,S,S,ERR2513359
ERR2514528,ERR2514528,S,S,S,S,ERR2514528
ERR2512415,ERR2512415,S,S,S,S,ERR2512415
ERR2513173,ERR2513173,S,S,S,S,ERR2513173
ERR2510765,ERR2510765,R,R,R,R,ERR2510765
ERR2512776,ERR2512776,S,S,S,S,ERR2512776
ERR2514635,ERR2514635,S,S,S,S,ERR2514635
ERR2513032,ERR2513032,S,S,S,S,ERR2513032
ERR2514436,ERR2514436,S,S,S,S,ERR2514436
ERR2513129,ERR2513129,S,S,S,S,ERR2513129
ERR2513299,ERR2513299,S,S,S,S,ERR2513299
ERR2513386,ERR2513386,S,S,S,S,ERR2513386
ERR2512677,ERR2512677,S,S,S,S,ERR2512677
ERR2512918,ERR2512918,S,S,S,S,ERR2512918
ERR2514074,ERR2514074,S,S,S,S,ERR2514074
ERR2514014,ERR2514014,S,S,S,S,ERR2514014
ERR2512499,ERR2512499,S,S,S,S,ERR2512499
ERR2513741,ERR2513741,S,S,S,S,ERR2513741
ERR2513354,ERR2513354,S,S,S,S,ERR2513354
ERR2512662,ERR2512662,S,S,S,S,ERR2512662
ERR2510843,ERR2510843,R,R,S,R,ERR2510843
ERR2513857,ERR2513857,S,S,S,S,ERR2513857
ERR2512863,ERR2512863,S,S,S,S,ERR2512863
ERR2514670,ERR2514670,S,S,S,S,ERR2514670
ERR2512469,ERR2512469,S,S,S,S,ERR2512469
ERR2512814,ERR2512814,S,S,S,S,ERR2512814
ERR2512527,ERR2512527,S,S,S,S,ERR2512527
ERR2514163,ERR2514163,S,S,S,S,ERR2514163
ERR2513426,ERR2513426,S,S,S,S,ERR2513426
ERR2513031,ERR2513031,S,S,S,S,ERR2513031
ERR2512648,ERR2512648,S,S,S,S,ERR2512648
ERR2512877,ERR2512877,S,S,S,S,ERR2512877
ERR2512435,ERR2512435,S,S,S,S,ERR2512435
ERR2514574,ERR2514574,S,S,S,S,ERR2514574
ERR2514595,ERR2514595,S,S,S,S,ERR2514595
ERR2512519,ERR2512519,S,S,S,S,ERR2512519
ERR2513900,ERR2513900,S,S,S,S,ERR2513900
ERR2514351,ERR2514351,S,S,S,S,ERR2514351
ERR2513812,ERR2513812,S,S,S,S,ERR2513812
ERR2513713,ERR2513713,S,S,S,S,ERR2513713
ERR2512512,ERR2512512,S,S,S,S,ERR2512512
ERR2512778,ERR2512778,S,S,S,S,ERR2512778
ERR2513447,ERR2513447,S,S,S,S,ERR2513447
ERR2513385,ERR2513385,S,S,S,S,ERR2513385
ERR2512491,ERR2512491,S,S,S,S,ERR2512491
ERR2513448,ERR2513448,S,S,S,S,ERR2513448
ERR2514043,ERR2514043,S,S,S,S,ERR2514043
ERR2514445,ERR2514445,S,S,S,S,ERR2514445
ERR2513499,ERR2513499,S,S,S,S,ERR2513499
ERR2513199,ERR2513199,S,S,S,S,ERR2513199
ERR2513673,ERR2513673,S,S,S,S,ERR2513673
ERR2512885,ERR2512885,S,S,S,S,ERR2512885
ERR2514251,ERR2514251,S,S,S,S,ERR2514251
ERR2514627,ERR2514627,S,S,S,S,ERR2514627
ERR2512686,ERR2512686,S,S,S,S,ERR2512686
ERR2512443,ERR2512443,S,S,S,S,ERR2512443
ERR2514071,ERR2514071,S,S,S,S,ERR2514071
ERR2513042,ERR2513042,S,S,S,S,ERR2513042
ERR2513352,ERR2513352,R,R,R,R,ERR2513352
ERR2512624,ERR2512624,S,S,S,S,ERR2512624
ERR2514185,ERR2514185,S,S,S,S,ERR2514185
ERR2514363,ERR2514363,S,S,S,S,ERR2514363
ERR2513144,ERR2513144,S,S,S,S,ERR2513144
ERR2513719,ERR2513719,S,S,S,S,ERR2513719
ERR2513695,ERR2513695,S,S,S,S,ERR2513695
ERR2514258,ERR2514258,S,S,S,S,ERR2514258
ERR2514656,ERR2514656,S,S,S,S,ERR2514656
ERR2512970,ERR2512970,S,S,S,S,ERR2512970
ERR2512794,ERR2512794,S,S,S,S,ERR2512794
ERR2513397,ERR2513397,S,S,S,S,ERR2513397
ERR2513759,ERR2513759,S,S,S,S,ERR2513759
ERR2513969,ERR2513969,S,S,S,S,ERR2513969
ERR2514440,ERR2514440,S,S,S,S,ERR2514440
ERR2513286,ERR2513286,S,S,S,S,ERR2513286
ERR2514309,ERR2514309,S,S,S,S,ERR2514309
ERR2510840,ERR2510840,R,R,S,R,ERR2510840
ERR2514312,ERR2514312,S,S,S,S,ERR2514312
ERR2512690,ERR2512690,S,S,S,S,ERR2512690
ERR2513932,ERR2513932,S,S,S,S,ERR2513932
ERR2513715,ERR2513715,S,S,S,S,ERR2513715
ERR2513228,ERR2513228,S,S,S,S,ERR2513228
ERR2513515,ERR2513515,S,S,S,S,ERR2513515
ERR2512518,ERR2512518,S,S,S,S,ERR2512518
ERR2513253,ERR2513253,S,S,S,S,ERR2513253
ERR2514216,ERR2514216,S,S,S,S,ERR2514216
ERR2514494,ERR2514494,S,S,S,S,ERR2514494
ERR2512459,ERR2512459,S,S,S,S,ERR2512459
ERR2514260,ERR2514260,S,S,S,S,ERR2514260
ERR2514415,ERR2514415,S,S,S,S,ERR2514415
ERR2512663,ERR2512663,S,S,S,S,ERR2512663
ERR2510883,ERR2510883,S,R,R,R,ERR2510883
ERR2513101,ERR2513101,S,S,S,S,ERR2513101
ERR2513934,ERR2513934,S,S,S,S,ERR2513934
ERR2514410,ERR2514410,S,S,S,S,ERR2514410
ERR2513862,ERR2513862,S,S,S,S,ERR2513862
ERR2514755,ERR2514755,S,S,S,S,ERR2514755
ERR2514454,ERR2514454,S,S,S,S,ERR2514454
ERR2513923,ERR2513923,S,S,S,S,ERR2513923
ERR2514458,ERR2514458,S,S,S,S,ERR2514458
ERR2514693,ERR2514693,S,S,S,S,ERR2514693
ERR2512946,ERR2512946,S,S,S,S,ERR2512946
ERR2514288,ERR2514288,R,R,S,S,ERR2514288
ERR2512526,ERR2512526,S,S,S,S,ERR2512526
ERR2512765,ERR2512765,S,S,S,S,ERR2512765
ERR2512654,ERR2512654,S,S,S,S,ERR2512654
ERR2513873,ERR2513873,S,S,S,S,ERR2513873
ERR2514768,ERR2514768,S,S,S,S,ERR2514768
ERR2513602,ERR2513602,S,S,S,S,ERR2513602
ERR2512678,ERR2512678,S,S,S,S,ERR2512678
ERR2512798,ERR2512798,S,S,S,S,ERR2512798
ERR2514313,ERR2514313,S,S,S,S,ERR2514313
ERR2512592,ERR2512592,S,S,S,S,ERR2512592
ERR2514485,ERR2514485,S,S,S,S,ERR2514485
ERR2513545,ERR2513545,S,S,S,S,ERR2513545
ERR2513118,ERR2513118,S,S,S,S,ERR2513118
ERR2514168,ERR2514168,S,S,S,S,ERR2514168
ERR2513576,ERR2513576,S,S,S,S,ERR2513576
ERR2514060,ERR2514060,S,S,S,S,ERR2514060
ERR2510763,ERR2510763,S,R,S,S,ERR2510763
ERR2514784,ERR2514784,S,S,S,S,ERR2514784
ERR2514333,ERR2514333,S,S,S,S,ERR2514333
ERR2512976,ERR2512976,S,S,S,S,ERR2512976
ERR2513099,ERR2513099,S,R,S,S,ERR2513099
ERR2514081,ERR2514081,S,S,S,S,ERR2514081
ERR2514227,ERR2514227,S,S,S,S,ERR2514227
ERR2512943,ERR2512943,S,S,S,S,ERR2512943
ERR2514176,ERR2514176,S,S,S,S,ERR2514176
ERR2512582,ERR2512582,S,R,S,S,ERR2512582
ERR2513487,ERR2513487,S,S,S,S,ERR2513487
ERR2513090,ERR2513090,S,S,S,S,ERR2513090
ERR2513023,ERR2513023,S,S,S,S,ERR2513023
ERR2514150,ERR2514150,S,S,S,S,ERR2514150
ERR2512674,ERR2512674,S,S,S,S,ERR2512674
ERR2514090,ERR2514090,S,S,S,S,ERR2514090
ERR2512408,ERR2512408,S,S,S,S,ERR2512408
ERR2513757,ERR2513757,S,S,S,S,ERR2513757
ERR2514642,ERR2514642,S,S,S,S,ERR2514642
ERR2513746,ERR2513746,S,S,S,S,ERR2513746
ERR2514111,ERR2514111,S,S,S,S,ERR2514111
ERR2512880,ERR2512880,S,S,S,S,ERR2512880
ERR2512400,ERR2512400,S,S,S,S,ERR2512400
ERR2514107,ERR2514107,S,S,S,S,ERR2514107
ERR2512458,ERR2512458,S,S,S,S,ERR2512458
ERR2514628,ERR2514628,S,S,S,S,ERR2514628
ERR2512720,ERR2512720,S,S,S,S,ERR2512720
ERR2514507,ERR2514507,S,S,S,S,ERR2514507
ERR2514087,ERR2514087,S,S,R,S,ERR2514087
ERR2514615,ERR2514615,S,S,S,S,ERR2514615
ERR2514594,ERR2514594,S,S,S,S,ERR2514594
ERR2514530,ERR2514530,S,S,S,S,ERR2514530
ERR2514284,ERR2514284,S,S,S,S,ERR2514284
ERR2514511,ERR2514511,S,S,S,S,ERR2514511
ERR2513532,ERR2513532,S,S,S,S,ERR2513532
ERR2513950,ERR2513950,R,R,S,R,ERR2513950
ERR2512566,ERR2512566,S,S,S,S,ERR2512566
ERR2513296,ERR2513296,S,S,S,S,ERR2513296
ERR2514098,ERR2514098,S,S,S,S,ERR2514098
ERR2512929,ERR2512929,S,S,S,S,ERR2512929
ERR2513717,ERR2513717,S,S,S,S,ERR2513717
ERR2512413,ERR2512413,S,S,S,S,ERR2512413
ERR2514197,ERR2514197,S,S,S,S,ERR2514197
ERR2513893,ERR2513893,S,S,S,S,ERR2513893
ERR2513452,ERR2513452,S,S,S,S,ERR2513452
ERR2513859,ERR2513859,S,S,S,S,ERR2513859
ERR2513853,ERR2513853,S,S,S,S,ERR2513853
ERR2510854,ERR2510854,S,R,S,R,ERR2510854
ERR2512746,ERR2512746,S,S,R,S,ERR2512746
ERR2514336,ERR2514336,S,S,S,S,ERR2514336
ERR2513600,ERR2513600,S,S,S,S,ERR2513600
ERR2513209,ERR2513209,S,S,S,S,ERR2513209
ERR2512475,ERR2512475,S,S,S,S,ERR2512475
ERR2514004,ERR2514004,S,S,S,S,ERR2514004
ERR2512632,ERR2512632,S,S,S,S,ERR2512632
ERR2513772,ERR2513772,S,S,S,S,ERR2513772
ERR2510833,ERR2510833,R,R,S,R,ERR2510833
ERR2513678,ERR2513678,S,S,S,S,ERR2513678
ERR2513392,ERR2513392,S,S,S,S,ERR2513392
ERR2512696,ERR2512696,S,S,S,S,ERR2512696
ERR2514566,ERR2514566,S,S,S,S,ERR2514566
ERR2512813,ERR2512813,S,S,S,S,ERR2512813
ERR2514008,ERR2514008,S,R,R,S,ERR2514008
ERR2513093,ERR2513093,S,S,S,S,ERR2513093
ERR2514700,ERR2514700,S,S,S,S,ERR2514700
ERR2512522,ERR2512522,S,S,S,S,ERR2512522
ERR2514097,ERR2514097,S,S,S,S,ERR2514097
ERR2513851,ERR2513851,S,S,S,S,ERR2513851
ERR2513889,ERR2513889,S,S,S,S,ERR2513889
ERR2514355,ERR2514355,S,S,S,S,ERR2514355
ERR2512452,ERR2512452,S,S,S,S,ERR2512452
ERR2513796,ERR2513796,S,S,S,S,ERR2513796
ERR2513077,ERR2513077,S,S,S,S,ERR2513077
ERR2514156,ERR2514156,S,R,S,S,ERR2514156
ERR2514300,ERR2514300,S,S,S,S,ERR2514300
ERR2514698,ERR2514698,S,S,S,S,ERR2514698
ERR2513668,ERR2513668,S,S,S,S,ERR2513668
ERR2514479,ERR2514479,S,S,S,S,ERR2514479
ERR2513046,ERR2513046,S,S,S,S,ERR2513046
ERR2512846,ERR2512846,S,S,S,S,ERR2512846
ERR2513575,ERR2513575,S,S,S,S,ERR2513575
ERR2513819,ERR2513819,S,R,S,R,ERR2513819
ERR2512540,ERR2512540,S,S,S,S,ERR2512540
ERR2512823,ERR2512823,S,S,S,S,ERR2512823
ERR2512488,ERR2512488,S,S,S,S,ERR2512488
ERR2512438,ERR2512438,S,S,S,S,ERR2512438
ERR2513237,ERR2513237,S,S,S,S,ERR2513237
ERR2512399,ERR2512399,S,S,S,S,ERR2512399
ERR2513149,ERR2513149,S,S,S,S,ERR2513149
ERR2514204,ERR2514204,S,S,S,S,ERR2514204
ERR2514431,ERR2514431,S,S,S,S,ERR2514431
ERR2512633,ERR2512633,S,S,S,S,ERR2512633
ERR2510766,ERR2510766,S,S,S,S,ERR2510766
ERR2513885,ERR2513885,S,S,S,S,ERR2513885
ERR2514443,ERR2514443,S,S,S,S,ERR2514443
ERR2512942,ERR2512942,S,S,S,S,ERR2512942
ERR2512568,ERR2512568,S,S,S,S,ERR2512568
ERR2514504,ERR2514504,S,S,S,S,ERR2514504
ERR2514109,ERR2514109,S,S,S,S,ERR2514109
ERR2513876,ERR2513876,S,S,S,S,ERR2513876
ERR2513610,ERR2513610,S,S,S,S,ERR2513610
ERR2513116,ERR2513116,S,S,S,S,ERR2513116
ERR2514003,ERR2514003,S,S,S,S,ERR2514003
ERR2512495,ERR2512495,S,S,R,S,ERR2512495
ERR2513986,ERR2513986,S,S,S,S,ERR2513986
ERR2514114,ERR2514114,S,S,S,S,ERR2514114
ERR2513465,ERR2513465,S,S,S,S,ERR2513465
ERR2512430,ERR2512430,S,S,S,S,ERR2512430
ERR2512634,ERR2512634,S,S,S,S,ERR2512634
ERR2514085,ERR2514085,S,S,S,S,ERR2514085
ERR2512638,ERR2512638,S,S,S,S,ERR2512638
ERR2514461,ERR2514461,S,S,S,S,ERR2514461
ERR2513550,ERR2513550,S,S,S,S,ERR2513550
ERR2512944,ERR2512944,S,S,S,S,ERR2512944
ERR2513777,ERR2513777,S,S,S,S,ERR2513777
ERR2514079,ERR2514079,S,S,S,S,ERR2514079
ERR2512679,ERR2512679,S,S,S,S,ERR2512679
ERR2510758,ERR2510758,S,S,S,S,ERR2510758
ERR2513806,ERR2513806,S,S,S,S,ERR2513806
ERR2514777,ERR2514777,S,S,S,S,ERR2514777
ERR2514245,ERR2514245,S,S,S,S,ERR2514245
ERR2514563,ERR2514563,S,S,S,S,ERR2514563
ERR2510848,ERR2510848,R,R,R,R,ERR2510848
ERR2513408,ERR2513408,R,R,R,R,ERR2513408
ERR2513903,ERR2513903,S,S,S,S,ERR2513903
ERR2513484,ERR2513484,S,S,S,S,ERR2513484
ERR2514625,ERR2514625,S,S,S,S,ERR2514625
ERR2512948,ERR2512948,S,S,S,S,ERR2512948
ERR2512950,ERR2512950,S,S,S,S,ERR2512950
ERR2513748,ERR2513748,S,S,S,S,ERR2513748
ERR2514534,ERR2514534,S,S,S,S,ERR2514534
ERR2510850,ERR2510850,R,R,R,R,ERR2510850
ERR2513102,ERR2513102,S,S,S,S,ERR2513102
ERR2514456,ERR2514456,S,S,S,S,ERR2514456
ERR2514013,ERR2514013,S,S,S,S,ERR2514013
ERR2513346,ERR2513346,S,S,S,S,ERR2513346
ERR2512925,ERR2512925,S,S,S,S,ERR2512925
ERR2512939,ERR2512939,S,S,S,S,ERR2512939
ERR2513843,ERR2513843,S,S,S,S,ERR2513843
ERR2513425,ERR2513425,S,S,S,S,ERR2513425
ERR2513216,ERR2513216,S,S,S,S,ERR2513216
ERR2514561,ERR2514561,S,S,S,S,ERR2514561
ERR2513581,ERR2513581,S,S,S,S,ERR2513581
ERR2513492,ERR2513492,S,S,S,S,ERR2513492
ERR2513415,ERR2513415,S,S,S,S,ERR2513415
ERR2512401,ERR2512401,S,S,S,S,ERR2512401
ERR2513926,ERR2513926,S,S,S,S,ERR2513926
ERR2513340,ERR2513340,S,S,S,S,ERR2513340
ERR2514077,ERR2514077,S,S,S,S,ERR2514077
ERR2513733,ERR2513733,S,S,S,S,ERR2513733
ERR2513441,ERR2513441,R,R,S,R,ERR2513441
ERR2513554,ERR2513554,S,S,S,S,ERR2513554
ERR2514769,ERR2514769,S,S,S,S,ERR2514769
ERR2513327,ERR2513327,S,S,S,S,ERR2513327
ERR2513268,ERR2513268,S,S,S,S,ERR2513268
ERR2514296,ERR2514296,S,S,S,S,ERR2514296
ERR2513583,ERR2513583,S,S,S,S,ERR2513583
ERR2513696,ERR2513696,S,S,S,S,ERR2513696
ERR2514186,ERR2514186,S,S,S,S,ERR2514186
ERR2513457,ERR2513457,S,S,S,S,ERR2513457
ERR2514470,ERR2514470,S,S,S,S,ERR2514470
ERR2512429,ERR2512429,S,S,S,S,ERR2512429
ERR2514169,ERR2514169,S,S,S,S,ERR2514169
ERR2512905,ERR2512905,S,S,S,S,ERR2512905
ERR2513028,ERR2513028,S,S,S,S,ERR2513028
ERR2513945,ERR2513945,S,S,S,S,ERR2513945
ERR2513343,ERR2513343,S,R,S,S,ERR2513343
ERR2512431,ERR2512431,S,S,S,S,ERR2512431
ERR2512581,ERR2512581,S,S,S,S,ERR2512581
ERR2512928,ERR2512928,S,S,S,S,ERR2512928
ERR2512908,ERR2512908,S,S,S,S,ERR2512908
ERR2513762,ERR2513762,S,S,S,S,ERR2513762
ERR2512802,ERR2512802,S,R,S,S,ERR2512802
ERR2514322,ERR2514322,S,S,S,S,ERR2514322
ERR2512718,ERR2512718,S,R,R,R,ERR2512718
ERR2513490,ERR2513490,S,S,S,S,ERR2513490
ERR2513337,ERR2513337,S,S,S,S,ERR2513337
ERR2513747,ERR2513747,S,S,S,S,ERR2513747
ERR2513471,ERR2513471,S,S,S,S,ERR2513471
ERR2510759,ERR2510759,S,S,S,S,ERR2510759
ERR2512791,ERR2512791,S,S,S,S,ERR2512791
ERR2513898,ERR2513898,S,R,S,S,ERR2513898
ERR2513022,ERR2513022,S,S,S,S,ERR2513022
ERR2514682,ERR2514682,S,S,S,S,ERR2514682
ERR2514622,ERR2514622,S,S,S,S,ERR2514622
ERR2513597,ERR2513597,S,S,S,S,ERR2513597
ERR2514652,ERR2514652,S,S,S,S,ERR2514652
ERR2514626,ERR2514626,S,S,S,S,ERR2514626
ERR2514252,ERR2514252,S,S,S,S,ERR2514252
ERR2514304,ERR2514304,S,S,S,S,ERR2514304
ERR2514203,ERR2514203,S,S,S,S,ERR2514203
ERR2510779,ERR2510779,S,S,S,S,ERR2510779
ERR2514005,ERR2514005,S,R,S,R,ERR2514005
ERR2512843,ERR2512843,S,S,S,S,ERR2512843
ERR2514331,ERR2514331,S,S,S,S,ERR2514331
ERR2513905,ERR2513905,S,S,S,S,ERR2513905
ERR2514399,ERR2514399,S,S,S,S,ERR2514399
ERR2512881,ERR2512881,S,S,S,S,ERR2512881
ERR2513902,ERR2513902,S,S,S,S,ERR2513902
ERR2513840,ERR2513840,S,S,S,S,ERR2513840
ERR2513809,ERR2513809,S,S,S,S,ERR2513809
ERR2514167,ERR2514167,S,S,S,S,ERR2514167
ERR2513765,ERR2513765,S,S,S,S,ERR2513765
ERR2513411,ERR2513411,S,S,S,S,ERR2513411
ERR2512973,ERR2512973,S,S,S,S,ERR2512973
ERR2513169,ERR2513169,S,S,S,S,ERR2513169
ERR2512811,ERR2512811,S,S,S,S,ERR2512811
ERR2513808,ERR2513808,S,S,S,S,ERR2513808
ERR2514632,ERR2514632,S,R,S,S,ERR2514632
ERR2513917,ERR2513917,S,S,S,S,ERR2513917
ERR2513103,ERR2513103,S,S,S,S,ERR2513103
ERR2513166,ERR2513166,S,S,S,S,ERR2513166
ERR2513788,ERR2513788,S,S,S,S,ERR2513788
ERR2514343,ERR2514343,S,S,S,S,ERR2514343
ERR2514267,ERR2514267,S,R,S,R,ERR2514267
ERR2512867,ERR2512867,S,S,S,S,ERR2512867
ERR2513372,ERR2513372,S,S,S,S,ERR2513372
ERR2514056,ERR2514056,S,S,S,S,ERR2514056
ERR2513665,ERR2513665,S,S,S,S,ERR2513665
ERR2510836,ERR2510836,S,S,S,S,ERR2510836
ERR2514044,ERR2514044,S,S,S,S,ERR2514044
ERR2514158,ERR2514158,S,S,S,S,ERR2514158
ERR2513254,ERR2513254,S,S,S,S,ERR2513254
ERR2513958,ERR2513958,S,S,S,S,ERR2513958
ERR2513310,ERR2513310,S,S,S,S,ERR2513310
